id,hotel_name,hotel_rating,hotel_experience,amenities,address,country
5877,Days Inn by Wyndham Stephenville,4,Very good,"['Free parking', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Room service', 'Babysitting', 'Banquet Room', 'Business Centre with Internet Access', 'Casino and Gambling', 'Dry Cleaning', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Tennis Court', 'Wheelchair Access', 'Air conditioning', 'Family Rooms', 'Non-smoking rooms', 'Suites']",44 Queen St Stephenville Newfoundland and Labrador,Canada
5878,Ste. Anne's Spa,5,Excellent,"['Pool', 'Free parking', 'Restaurant', 'Fitness Centre with Gym / Workout Room', 'Free Internet', 'Spa', 'Adult pool', 'Concierge', 'Heated pool', 'Hot Tub', 'Meeting rooms', 'Non-smoking hotel', 'Outdoor pool', 'Public Wifi', 'Sauna', 'Air conditioning', 'Non-smoking rooms', 'Suites']",1009 Massey Rd Grafton Ontario,Canada
5879,Elm Hurst Inn & Spa,4.5,Excellent,"['Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Bar/Lounge', 'Spa', 'Breakfast included', 'Banquet Room', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Electric vehicle charging station', 'Hot Tub', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Public Wifi', 'Sauna', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",Hwy 401 415 Harris St RR 5 Ingersoll Ontario,Canada
5880,Jet Set Motel,2.5,Average,[], ,Canada
5882,Pine Ridge Park & Resort,4,,[],419 River Dr ,Canada
5883,Motel Quatre Saisons,4,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Meeting rooms', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms', 'Smoking rooms available', 'Suites']", ,Canada
5884,Manoir Sweetsburg,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Restaurant', 'Business Centre with Internet Access', 'Meeting rooms', 'Non-smoking hotel', 'Air conditioning', 'Non-smoking rooms']",795 Principale Cowansville Quebec,Canada
5885,Auberge des Carrefours,,,[],111 Place Jean-Jaques Bertrand Cowansville Quebec,Canada
5886,Maison Chapleau,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Concierge', 'Non-smoking hotel']",595 rue Tache St-Pascal Quebec,Canada
5887,Auberge La Coudriere,3,Average,"['Free parking', 'Pool', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Banquet Room', 'Business Centre with Internet Access', 'Children Activities (Kid / Family Friendly)', 'Conference Facilities', 'Heated pool', 'Kids pool', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Outdoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Non-smoking rooms']",289 Saint-Louis-de-L'Isle-aux-Coudres Quebec,Canada
5888,Hotel Cap-aux-Pierres,3.5,Very good,"['Free parking', 'Pool', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Spa', 'Banquet Room', 'Breakfast Available', 'Children Activities (Kid / Family Friendly)', 'Concierge', 'Indoor pool', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Outdoor pool', 'Public Wifi', 'Tennis Court', 'Wheelchair Access', 'Air conditioning', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms']",444 chemin La Baleine Saint-Louis-de-L'Isle-aux-Coudres Quebec,Canada
5889,Le Baluchon,4,Very good,"['Pool', 'Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Spa', 'Fitness Centre with Gym / Workout Room', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Children Activities (Kid / Family Friendly)', 'Conference Facilities', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Outdoor pool', 'Public Wifi', 'Sauna', 'Ski-In / Ski-Out', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",355 St-Paulin Quebec,Canada
5890,Camping Belle-Montagne,5,Excellent,"['Pool', 'Free parking', 'Heated pool', 'Meeting rooms', 'Non-smoking hotel', 'Outdoor pool', 'Paid Wifi', 'Tennis Court', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Kitchenette']", ,Canada
5891,Asessippi Inn,3,,[],309 Main Street North ,Canada
5894,Hotel Les Trois Tilleuls,,,[],290 rue Richelieu Saint Marc sur Richelieu Quebec,Canada
5895,Camping Domaine Madalie,,,[],512 3e Rang Nord ,Canada
5896,Turaarvik Inns North,,,[], Rankin Inlet,Canada
5897,Auberge La Montagne Coupee,4,Very good,"['Pool', 'Free parking', 'Restaurant', 'Spa', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Free High Speed Internet (WiFi)', 'Heated pool', 'Indoor pool', 'Meeting rooms', 'Non-smoking hotel', 'Sauna', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms', 'Suites']",100 Saint-Jean-de-Matha Quebec,Canada
5898,Motel La Porte de la Matawinie,4,Very good,"['Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms']",891 route Louis-Cyr Saint-Jean-de-Matha Quebec,Canada
5899,Valley Motel,,,[],601B Pine Avenue Sparwood British Columbia,Canada
5900,Mountain Shadows Campground,4.5,Excellent,"['Free Internet', 'Children Activities (Kid / Family Friendly)']",606 Sparwood Drive Sparwood British Columbia,Canada
5901,Havre Du Parc,4,Very good,"['Golf Course', 'Non-smoking hotel', 'Public Wifi', 'Family Rooms', 'Non-smoking rooms']",2788 Route 125 Nord Saint Donat Quebec,Canada
5902,Econo Lodge Maple Ridge,3,Average,"['Free parking', 'Free High Speed Internet (WiFi)', 'Room service', 'Restaurant', 'Breakfast included', 'Fitness Centre with Gym / Workout Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Dry Cleaning', 'Golf Course', 'Hot Tub', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Family Rooms', 'Non-smoking rooms']",7-21735 Lougheed Hwy Maple Ridge British Columbia,Canada
5903,Haney Motor Hotel,,,[],22222 Lougheed Hwy ,Canada
5904,Motel Normandie,3.5,Very good,"['Free High Speed Internet (WiFi)', 'Room service', 'Spa', 'Electric vehicle charging station', 'Laundry Service', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Refrigerator in room', 'Family Rooms']",1111 boulevard St-Laurent Ouest Louiseville Quebec,Canada
5905,Four Seasons Inn & Motel,,,[],2 Beaudoin Street Blanc-Sablon Quebec,Canada
5906,Hotel Carmacks,3,Average,"['Free parking', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Meeting rooms', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Self-Serve Laundry', 'Wheelchair Access', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms', 'Suites']",35607 North Klondike Highway Carmacks Yukon,Canada
5907,Elk Point Motel & RV Park,2.5,Average,"['Free parking', 'Free High Speed Internet (WiFi)', 'Laundry Service', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms']",5474 48 Street Elk Point Alberta,Canada
5908,Raven River Bed and Breakfast,5,,[],362002,Canada
5909,Imperia Hotel & Suites St-Eustache,3,Average,"['Pool', 'Free parking', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Minibar', 'Refrigerator in room', 'Accessible rooms', 'Non-smoking rooms', 'Suites']",57 Saint-Eustache Quebec,Canada
5910,La Seigneurie du Triton,,,[],1893 Chemin Du Triton Lac-Edouard Quebec,Canada
5911,Village Innusit,4,,[],120 Rue Principale ,Canada
5912,Le Beluga,,,[],1416 Chemin Desmarais Sainte-Emelie-de-L'Energie Quebec,Canada
5913,Cape Canso R.V. Park & Marina,5,Excellent,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']",1639 Union Street Canso Nova Scotia,Canada
5914,Raval Paradise Motel & RV Park,2.5,,[],101 5 Ave W ,Canada
5915,Auberge des Gallant Restaurant and SPA,4.5,Excellent,"['Pool', 'Room service', 'Restaurant', 'Free parking', 'Spa', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Children Activities (Kid / Family Friendly)', 'Concierge', 'Conference Facilities', 'Heated pool', 'Hot Tub', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Outdoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms']",117 Sainte-Marthe Quebec,Canada
5916,The Gite L'Escapade,,,[],1027 Ch Saint-Henri ,Canada
5917,Woodlander Hotel,4.5,,[],509 Nykolaishen Drive ,Canada
5918,Parfum de Mer,,,[],320 boulevard Pabos Chandler Quebec,Canada
