id,hotel_name,hotel_rating,hotel_experience,amenities,address,country
833,Silver Birches Resort,4,Very good,"['Free parking', 'Pool', 'Room service', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Kitchenette', 'Suites']",110 Bay Stree Little Current Ontario,Canada
834,Woods and Waves Bed and Breakfast,5,Excellent,"['Free High Speed Internet (WiFi)', 'Breakfast included', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Air conditioning', 'Kitchenette', 'Suites']",55 Rocky Mountain Way Little Current Ontario,Canada
835,Cosy Cove Cottages,5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)']",413 Lakeshore Rd Mindemoya Ontario,Canada
836,Lake Kagawong Family Cabins,5,,[],423 Lakeshore Rd ,Canada
837,Viva Villa Cottage Resort,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Sauna', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms']",497 Lakeshore Rd Kagawong Ontario,Canada
838,Martha's Inn Bed & Breakfast,4,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Non-smoking hotel', 'Microwave', 'Non-smoking rooms']",6 Borron St Gore Bay Ontario,Canada
839,Bayside Resort,4.5,,[],#30 Two O_Clock Rd ,Canada
840,Black Rock Resort,3.5,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Laundry Service', 'Non-smoking hotel', 'Self-Serve Laundry', 'Wheelchair Access', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms']",35 Leask L Manitowaning Ontario,Canada
841,Providence Bay Tent & Trailer Park,3.5,Very good,[], Providence Bay Ontario,Canada
842,Island Spring Cottages,4,,[],113 Ketchankooken Trail ,Canada
843,Birch Island Lodge Ltd.,5,,[], Ontario P,Canada
856,Duffney Farms,,,[],21435 540 Hwy Ontario P,Canada
857,Gore Bay Overnight Apartment Hotel,,,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms', 'Suites']",59 Meridith Street Gore Bay Ontario,Canada
867,Coast Bastion Hotel,4.5,Excellent,"['Restaurant', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Spa', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Non-smoking rooms']",11 Bastion St Nanaimo British Columbia,Canada
868,Best Western Northgate Inn,4.5,Excellent,"['Free High Speed Internet (WiFi)', 'Free parking', 'Breakfast included', 'Fitness Centre with Gym / Workout Room', 'Business Centre with Internet Access', 'Dry Cleaning', 'Laundry Service', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Sauna', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Family Rooms', 'Non-smoking rooms', 'Suites']",6450 Metral Dr Nanaimo British Columbia,Canada
869,Buccaneer Inn,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Public Wifi', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms', 'Suites']",1577 Stewart Ave Nanaimo British Columbia,Canada
870,The Inn on Long Lake,4.5,Excellent,"['Free High Speed Internet (WiFi)', 'Breakfast included', 'Free parking', 'Fitness Centre with Gym / Workout Room', 'Airport transportation', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Hot Tub', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Sauna', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms']",4700 Island Hwy N Nanaimo British Columbia,Canada
871,Long Lake Waterfront B&B,5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Laundry Service', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms', 'Suites']",240 Ferntree Pl Nanaimo British Columbia,Canada
872,Harbour Light Motel,3.5,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Smoking rooms available']",200 Nicol St Nanaimo British Columbia,Canada
873,Best Western Dorchester Hotel,,,[],70 Church St Nanaimo British Columbia,Canada
874,Port-O-Call Motel,3.5,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Restaurant', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",505 Terminal Ave N Nanaimo British Columbia,Canada
875,Painted Turtle Guesthouse,4.5,Excellent,"['Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Banquet Room', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Self-Serve Laundry', 'Family Rooms', 'Non-smoking rooms']",121 Bastion St Nanaimo British Columbia,Canada
876,Departure Bay Motel,,,[],2011 Estevan Rd Nanaimo British Columbia,Canada
