id,hotel_name,hotel_rating,hotel_experience,amenities,address,country,discover_link,image_link,description
296,Comfort Inn & Suites Terrace,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Fitness Centre with Gym / Workout Room', 'Spa', 'Breakfast Available', 'Business Centre with Internet Access', 'Dry Cleaning', 'Golf Course', 'Hot Tub', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Sauna', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms', 'Suites']",5112 Highway 16 West British Columbia,Canada, , , 
297,The Bulkley Valley Motel,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",4444 Highway 16 British Columbia,Canada, , , 
298,Copper River Motel,4,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Laundry Service', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms']",4113 16 Hwy E British Columbia,Canada, , , 
299,B&B House Austria,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Room service', 'Airport transportation', 'Breakfast Available', 'Dry Cleaning', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Ski-In / Ski-Out', 'Microwave', 'Minibar', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms']",603 10 Ave British Columbia,Canada, , , 
300,Skeena River House Bed & Breakfast,5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Golf Course', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",1778 Sleeping Beauty Lane British Columbia,Canada, ,https://lh5.googleusercontent.com/p/AF1QipNm-HJ8mF4dp7bq9SPyS7QJv-j6JtiJo_WobxKY=w239-h160-k-no,"zBed & Breakfast, riverfront property, on the Skeena River with great views of the river and surrounding mountains. Cozy, comfortable rooms, each with private en-suite. Nutritious, home-cooked breakfast served in the riverfront room, or outside on the deck while gazing at the spectacular view. There are many great trails and scenic drives in the vicinity for our guests to enjoy."
301,Rest Inn,4,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Airport transportation', 'Breakfast Available', 'Business Centre with Internet Access', 'Dry Cleaning', 'Electric vehicle charging station', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Shuttle Bus Service', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",4326 Lakelse Ave British Columbia,Canada, , , 
302,Stewart Mountain Lodge,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Airport transportation', 'Dry Cleaning', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Ski-In / Ski-Out', 'Wheelchair Access', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms']",6th Avenue 418 British Columbia,Canada, , , 
303,The Chalet Motel,3.5,Very good,"['Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Dry Cleaning', 'Meeting rooms', 'Non-smoking hotel', 'Refrigerator in room', 'Non-smoking rooms']",852 Tsimshian Ave British Columbia,Canada, , , 
304,Kalum Motel,4,Very good,"['Free parking', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Golf Course', 'Laundry Service', 'Non-smoking hotel', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms']",5522 Highway 16 West British Columbia,Canada, , , 
305,Shames Country Lodge,5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Concierge', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",13526 Highway 16 West British Columbia,Canada, , , 
306,Bear Valley Guesthouse,5,Excellent,"['Pool', 'Room service', 'Free parking', 'Restaurant', 'Fitness Centre with Gym / Workout Room', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Breakfast Available', 'Children Activities (Kid / Family Friendly)', 'Conference Facilities', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']", British Columbia,Canada, , , 
307,Hidden Acers,5,Excellent,"['Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Heated pool', 'Non-smoking hotel', 'Outdoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Kitchenette', 'Non-smoking rooms']",2438 Kispiox Valley Rd British Columbia,Canada, , , 
308,Kitimat Estuary Lodge B&B,4,Very good,"['Pool', 'Free parking', 'Breakfast included', 'Free High Speed Internet (WiFi)', 'Heated pool', 'Hot Tub', 'Non-smoking hotel', 'Outdoor pool', 'Public Wifi', 'Self-Serve Laundry', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms']",921 Kuldo Blvd British Columbia,Canada, , , 
309,Skeena Spey Riverside Wilderness & Lodge,5,Excellent,"['Free parking', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Airport transportation', 'Banquet Room', 'Breakfast Available', 'Children Activities (Kid / Family Friendly)', 'Concierge', 'Hot Tub', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Shuttle Bus Service', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms']",2940 Lavergne Rd British Columbia,Canada, , , 
310,Yellow Cedar Lodge,4.5,Excellent,"['Bar/Lounge', 'Fitness Centre with Gym / Workout Room', 'Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Hot Tub', 'Non-smoking hotel', 'Public Wifi', 'Family Rooms', 'Non-smoking rooms']",13594 Highway 16 west British Columbia,Canada, , , 
311,Bell 2 Lodge,4,Very good,"['Free parking', 'Restaurant', 'Bar/Lounge', 'Fitness Centre with Gym / Workout Room', 'Children Activities (Kid / Family Friendly)', 'Hot Tub', 'Non-smoking hotel', 'Paid Internet', 'Paid Wifi', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Non-smoking rooms', 'Suites']",Stewart Cassiar Highway British ,Canada, , , 
312,Hyland Creek Bed and Breakfast,5,Excellent,"['Free parking', 'Breakfast included', 'Free High Speed Internet (WiFi)', 'Airport transportation', 'Breakfast Available', 'Children Activities (Kid / Family Friendly)', 'Laundry Service', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms']",5 Telegraph Glenora Road British Columbia,Canada, ,https://lh5.googleusercontent.com/p/AF1QipN7PNLAaUkp3RhiIvf1vfqRbNwjTcEJAuLPVv3e=w283-h160-k-no," Offering a barbecue and views of the mountain, Hyland Creek Bed and Breakfast is set in Telegraph Creek, British Columbia. Free private parking is available on site. Guests have access to a shared bathroom, shared kitchen and shared common living room. Guests can enjoy various activities in the surroundings, including fishing and canoeing."
